"filename", "language", "Shell Script", "Dotenv", "YAML", "Python", "Ini", "Docker", "pip requirements", "Markdown", "comment", "blank", "total"
"c:\Users\Пользователь\Desktop\python\Clarity\.env", "Dotenv", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Пользователь\Desktop\python\Clarity\Dockerfile", "Docker", 0, 0, 0, 0, 0, 8, 0, 0, 0, 5, 13
"c:\Users\Пользователь\Desktop\python\Clarity\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1077, 0, 217, 1294
"c:\Users\Пользователь\Desktop\python\Clarity\ai_commit.py", "Python", 0, 0, 0, 57, 0, 0, 0, 0, 20, 9, 86
"c:\Users\Пользователь\Desktop\python\Clarity\alembic.ini", "Ini", 0, 0, 0, 0, 123, 0, 0, 0, 0, 27, 150
"c:\Users\Пользователь\Desktop\python\Clarity\alembic\env.py", "Python", 0, 0, 0, 58, 0, 0, 0, 0, 13, 16, 87
"c:\Users\Пользователь\Desktop\python\Clarity\alembic\versions\cf26c315fc74_init.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 10, 8, 29
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\auth.py", "Python", 0, 0, 0, 20, 0, 0, 0, 0, 3, 8, 31
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\invitations.py", "Python", 0, 0, 0, 41, 0, 0, 0, 0, 5, 12, 58
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\projects.py", "Python", 0, 0, 0, 63, 0, 0, 0, 0, 9, 20, 92
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\tasks.py", "Python", 0, 0, 0, 51, 0, 0, 0, 0, 7, 16, 74
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\user.py", "Python", 0, 0, 0, 23, 0, 0, 0, 0, 3, 8, 34
"c:\Users\Пользователь\Desktop\python\Clarity\core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\core\config.py", "Python", 0, 0, 0, 27, 0, 0, 0, 0, 0, 10, 37
"c:\Users\Пользователь\Desktop\python\Clarity\core\database.py", "Python", 0, 0, 0, 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\Пользователь\Desktop\python\Clarity\core\dependencies.py", "Python", 0, 0, 0, 33, 0, 0, 0, 0, 0, 7, 40
"c:\Users\Пользователь\Desktop\python\Clarity\core\exceptions.py", "Python", 0, 0, 0, 89, 0, 0, 0, 0, 1, 20, 110
"c:\Users\Пользователь\Desktop\python\Clarity\core\security.py", "Python", 0, 0, 0, 28, 0, 0, 0, 0, 4, 10, 42
"c:\Users\Пользователь\Desktop\python\Clarity\docker-compose.yaml", "YAML", 0, 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\Пользователь\Desktop\python\Clarity\entrypoint.sh", "Shell Script", 4, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5
"c:\Users\Пользователь\Desktop\python\Clarity\main.py", "Python", 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\Пользователь\Desktop\python\Clarity\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\models\project.py", "Python", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Пользователь\Desktop\python\Clarity\models\project_invitations.py", "Python", 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Пользователь\Desktop\python\Clarity\models\project_members.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
