"filename", "language", "Python", "Dotenv", "YAML", "Markdown", "Docker", "Ini", "Shell Script", "pip requirements", "comment", "blank", "total"
"c:\Users\Пользователь\Desktop\python\Clarity\.env", "Dotenv", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Пользователь\Desktop\python\Clarity\Dockerfile", "Docker", 0, 0, 0, 0, 8, 0, 0, 0, 0, 5, 13
"c:\Users\Пользователь\Desktop\python\Clarity\README.md", "Markdown", 0, 0, 0, 1077, 0, 0, 0, 0, 0, 217, 1294
"c:\Users\Пользователь\Desktop\python\Clarity\ai_commit.py", "Python", 57, 0, 0, 0, 0, 0, 0, 0, 20, 9, 86
"c:\Users\Пользователь\Desktop\python\Clarity\alembic.ini", "Ini", 0, 0, 0, 0, 0, 123, 0, 0, 0, 27, 150
"c:\Users\Пользователь\Desktop\python\Clarity\alembic\env.py", "Python", 58, 0, 0, 0, 0, 0, 0, 0, 13, 16, 87
"c:\Users\Пользователь\Desktop\python\Clarity\alembic\versions\cf26c315fc74_init.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 10, 8, 29
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\auth.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 3, 8, 31
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\invitations.py", "Python", 41, 0, 0, 0, 0, 0, 0, 0, 5, 12, 58
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\projects.py", "Python", 63, 0, 0, 0, 0, 0, 0, 0, 9, 20, 92
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\tasks.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 7, 16, 74
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\user.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 3, 8, 34
"c:\Users\Пользователь\Desktop\python\Clarity\core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
